symbol,side,entry_price,exit_price,quantity,pnl,pnl_pct,reason,entry_bar,exit_bar,duration_bars,exit_time,strategy,confidence
BTC/USDT:USDT,BUY,74674.9188,76254.83351,0.0006695688566319539,0.9972269689391329,0.01994453937878266,partial_tp1,331,332,1,2026-02-02 03:45:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,74674.9188,76254.83351,0.0010043532849479308,1.495840453408699,0.019944539378782655,partial_tp2,331,332,1,2026-02-02 03:45:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,74674.9188,74643.07979,0.0010043532849479308,-0.12195842771441624,-0.00162611236952555,time_stop,331,485,154,2026-02-03 18:00:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,74717.76021,73862.50901100069,0.00163052104031418,-1.5398630278065324,-0.012639556617832238,stop_loss,485,486,1,2026-02-03 18:15:00+00:00,ensemble,0.1218
BTC/USDT:USDT,BUY,73763.6634,74545.00885000001,0.0003972475633671252,0.27503842095397746,0.009386196600561027,partial_tp1,487,489,2,2026-02-03 19:00:00+00:00,ensemble,0.1172
BTC/USDT:USDT,BUY,73763.6634,75624.60878000001,0.0005958713450506878,1.0554743122392491,0.02401334661331374,partial_tp2,487,494,7,2026-02-03 20:15:00+00:00,ensemble,0.1172
BTC/USDT:USDT,BUY,73763.6634,73076.46349000001,0.0005958713450506878,-0.4619814290408238,-0.010510649151598342,time_stop,487,575,88,2026-02-04 16:30:00+00:00,ensemble,0.1172
BTC/USDT:USDT,BUY,73672.82800499999,72662.76765951952,0.0021395512125459994,-2.34893133760296,-0.014901853676699753,stop_loss,576,578,2,2026-02-04 17:15:00+00:00,ensemble,0.1576
BTC/USDT:USDT,BUY,72805.56459,73964.99900000001,0.0004745208332255008,0.5083883682269027,0.014715524532765888,partial_tp1,579,583,4,2026-02-04 18:30:00+00:00,ensemble,0.1382
BTC/USDT:USDT,BUY,72805.56459,72603.650015,0.0014235624996765024,-0.4116374801195559,-0.0039716758655931736,time_stop,579,595,16,2026-02-04 21:30:00+00:00,ensemble,0.1382
BTC/USDT:USDT,BUY,71561.28276,70541.39034502598,0.0027946529774647328,-3.088521969300036,-0.015443462948302174,stop_loss,617,626,9,2026-02-05 05:15:00+00:00,ensemble,0.2
BTC/USDT:USDT,SELL,71701.081525,70893.559065,0.000697085654933026,0.5032719158468617,0.010069104402480733,partial_tp1,642,648,6,2026-02-05 10:45:00+00:00,ensemble,0.2
BTC/USDT:USDT,SELL,71701.081525,70100.43269999999,0.001045628482399539,1.5847209804667408,0.02113730900888264,partial_tp2,642,650,8,2026-02-05 11:15:00+00:00,ensemble,0.2
BTC/USDT:USDT,SELL,71701.081525,71803.113615,0.001045628482399539,-0.19671890369206949,-0.0026238740487951563,time_stop,642,3235,2593,2026-03-04 09:30:00+00:00,ensemble,0.2
BTC/USDT:USDT,SELL,71731.346385,70915.84019999999,0.00045927250162883763,0.33523120753881713,0.010175716891348373,partial_tp1,3235,3245,10,2026-03-04 12:00:00+00:00,ensemble,0.1318
BTC/USDT:USDT,SELL,71731.346385,71843.02355999999,0.001377817504886513,-0.2725623347092242,-0.002757815194283834,time_stop,3235,3253,18,2026-03-04 14:00:00+00:00,ensemble,0.1318
BTC/USDT:USDT,SELL,72935.663925,73713.22025641313,0.0015929161539592978,-1.3787416668649095,-0.0118672486866236,stop_loss,3258,3265,7,2026-03-04 17:00:00+00:00,ensemble,0.1162
BTC/USDT:USDT,BUY,72754.929285,72588.53757500001,0.0018961971974309044,-0.48087141889262275,-0.003485644101481944,time_stop,3289,3305,16,2026-03-05 03:00:00+00:00,ensemble,0.138
BTC/USDT:USDT,BUY,71688.596385,70965.96176516604,0.001598013656200577,-1.291558350163915,-0.011274141153266764,stop_loss,3356,3357,1,2026-03-05 16:00:00+00:00,ensemble,0.1146
BTC/USDT:USDT,BUY,71031.25787999999,70883.970285,0.0021698249512917683,-0.5043470204711373,-0.0032723161441356565,time_stop,3358,3387,29,2026-03-05 23:30:00+00:00,ensemble,0.1542
BTC/USDT:USDT,BUY,70471.40809499999,70492.666035,0.0016678703515170938,-0.1056103920619442,-0.0008985275899784699,time_stop,3412,3432,20,2026-03-06 10:45:00+00:00,ensemble,0.1176
BTC/USDT:USDT,BUY,69962.50377,69573.8957185323,0.00147998644972858,-0.6990418387197899,-0.006751186217028391,stop_loss,3437,3444,7,2026-03-06 13:45:00+00:00,ensemble,0.1036
BTC/USDT:USDT,BUY,68860.47303,68296.59004453523,0.002902638453464153,-1.8756188561308011,-0.00938386268459074,stop_loss,3445,3448,3,2026-03-06 14:45:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,68444.09494499999,67804.67472443433,0.0016963738871072262,-1.2233730780665613,-0.010536620915899858,stop_loss,3448,3459,11,2026-03-06 17:30:00+00:00,ensemble,0.1162
BTC/USDT:USDT,BUY,67669.99809,67714.135995,0.0022204956734416218,-0.08236390330572903,-0.0005481391532131707,time_stop,3513,3541,28,2026-03-07 14:00:00+00:00,ensemble,0.1504
BTC/USDT:USDT,BUY,67533.76000499999,67296.14280891632,0.001695346079954597,-0.5399933902279844,-0.004716383890789338,stop_loss,3561,3562,1,2026-03-07 19:15:00+00:00,ensemble,0.1146
BTC/USDT:USDT,BUY,67261.33386,66997.61259599462,0.0021061144123858547,-0.7250859762479654,-0.005118492484784236,stop_loss,3562,3564,2,2026-03-07 19:45:00+00:00,ensemble,0.1418
BTC/USDT:USDT,BUY,67113.88016999999,66828.23414216888,0.002795264585193202,-1.0230984146590458,-0.005453585688851623,stop_loss,3564,3592,28,2026-03-08 02:45:00+00:00,ensemble,0.1878
BTC/USDT:USDT,BUY,67010.18835,66700.2048261097,0.0029811536303230883,-1.1632752420032537,-0.005823140770144831,stop_loss,3593,3600,7,2026-03-08 04:45:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,67012.20936,67728.948585,0.0007451791347840003,0.47385533585291423,0.0094892339217901,partial_tp1,3601,3617,16,2026-03-08 09:00:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,67012.20936,67019.63342000001,0.0022355374043520008,-0.16318315492315313,-0.001089279794907819,time_stop,3601,3629,28,2026-03-08 12:00:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,67197.46194,66754.26262511921,0.0018994860638077624,-0.9945145825258686,-0.007791519716731924,stop_loss,3634,3635,1,2026-03-08 13:30:00+00:00,ensemble,0.1278
BTC/USDT:USDT,BUY,67183.575,66786.21698193708,0.001801583477698393,-0.860688298320348,-0.007110962660919484,stop_loss,3649,3654,5,2026-03-08 18:15:00+00:00,ensemble,0.1212
