symbol,side,entry_price,exit_price,quantity,pnl,pnl_pct,reason,entry_bar,exit_bar,duration_bars,exit_time,strategy,confidence
BTC/USDT:USDT,SELL,91997.588195,92355.9885553978,0.0021739700346934733,-1.0196191349144954,-0.005098095674572476,stop_loss,319,320,1,2026-01-05 00:45:00+00:00,ensemble,0.2
BTC/USDT:USDT,SELL,92359.25727000002,92744.08512144958,0.0021652362040189203,-1.0737186713319313,-0.005369140804529892,stop_loss,320,321,1,2026-01-05 01:00:00+00:00,ensemble,0.2
BTC/USDT:USDT,SELL,92907.912805,93344.47541705173,0.002152218548527268,-1.18009165803464,-0.005901693714030446,stop_loss,321,323,2,2026-01-05 01:30:00+00:00,ensemble,0.2
BTC/USDT:USDT,SELL,93153.40000000001,93126.54,0.002084050931042813,-0.1769525214271181,-0.0009114853993518738,time_stop,323,360,37,2026-01-05 10:45:00+00:00,ensemble,0.1942
BTC/USDT:USDT,SELL,93880.17643,94411.75706457031,0.0019401021703024546,-1.2505040961145562,-0.006865728412298472,stop_loss,381,388,7,2026-01-05 17:45:00+00:00,ensemble,0.1822
BTC/USDT:USDT,SELL,94136.96797,94163.77836,0.001229544208137857,-0.17187901496526797,-0.001484972809433887,time_stop,399,418,19,2026-01-06 01:15:00+00:00,ensemble,0.1158
BTC/USDT:USDT,BUY,91873.01355,92850.09173,0.0004895678373779049,0.42408535683234133,0.009428713431290257,partial_tp1,485,497,12,2026-01-06 21:00:00+00:00,ensemble,0.18
BTC/USDT:USDT,BUY,91873.01355,93701.096015,0.0007343517560668573,1.2606895644640181,0.018685987679360274,partial_tp2,485,508,23,2026-01-06 23:45:00+00:00,ensemble,0.18
BTC/USDT:USDT,BUY,91873.01355,91910.98152000002,0.0007343517560668573,-0.053095414266179405,-0.0007869822078127269,time_stop,485,546,61,2026-01-07 09:15:00+00:00,ensemble,0.18
BTC/USDT:USDT,BUY,90832.73366999999,90848.17319,0.0015694097971045912,-0.14684814315314346,-0.0010301244973637657,time_stop,585,615,30,2026-01-08 02:30:00+00:00,ensemble,0.1426
BTC/USDT:USDT,BUY,90203.16904499999,90051.56169500001,0.0022164658231198157,-0.5757495798932369,-0.0028797235307153014,time_stop,737,759,22,2026-01-09 14:30:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,90304.14951,91634.749705,0.00038576507007352103,0.47118767414114837,0.013525810963268457,partial_tp1,761,762,1,2026-01-09 15:15:00+00:00,ensemble,0.1394
BTC/USDT:USDT,BUY,90304.14951,90283.17583000001,0.0011572952102205632,-0.14966844739020832,-0.00143211664032863,time_stop,761,778,17,2026-01-09 19:15:00+00:00,ensemble,0.1394
BTC/USDT:USDT,BUY,90533.67421499999,90410.64952817834,0.0022083181584289903,-0.5114272313153161,-0.002558067846860733,stop_loss,886,888,2,2026-01-10 22:45:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,90556.285515,90410.19575678259,0.0012870621676055116,-0.3277756678660232,-0.002812280180576674,stop_loss,889,893,4,2026-01-11 00:00:00+00:00,ensemble,0.1166
BTC/USDT:USDT,BUY,90791.71316999999,90781.896345,0.0011207452324813348,-0.1331008141418574,-0.0013080598059276288,time_stop,931,947,16,2026-01-11 13:30:00+00:00,ensemble,0.1018
BTC/USDT:USDT,BUY,90850.872735,91747.80315,0.0005500984872955399,0.433131711268962,0.008666633415461707,partial_tp1,1047,1053,6,2026-01-12 16:00:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,90850.872735,92653.74995000001,0.0008251477309433098,1.3967889893109746,0.01863245107536407,partial_tp2,1047,1143,96,2026-01-13 14:30:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,90850.872735,90884.51501,0.0008251477309433098,-0.062215278817908136,-0.0008299200148238883,time_stop,1047,1784,737,2026-01-20 06:45:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,91083.49899,91103.24559,0.0011634360284120359,-0.1042036676474275,-0.000983333400024742,time_stop,1785,1806,21,2026-01-20 12:15:00+00:00,ensemble,0.106
BTC/USDT:USDT,BUY,90349.66225499999,89822.45671735932,0.0022129687669975757,-1.4059185517687163,-0.007031667780129655,stop_loss,1817,1827,10,2026-01-20 17:30:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,89820.34773000001,89431.271995,0.0021099605852977726,-1.0478627770280942,-0.005529111380506629,time_stop,1828,1844,16,2026-01-20 21:45:00+00:00,ensemble,0.1896
BTC/USDT:USDT,BUY,88553.43458999999,87939.54658449843,0.0022573026780724308,-1.6247698862949274,-0.008128242541227678,stop_loss,1848,1850,2,2026-01-20 23:15:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,88164.08001,89048.36354500001,0.000566725727847792,0.440887719362263,0.008823957203191707,partial_tp1,1850,1857,7,2026-01-21 01:00:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,88164.08001,89883.825605,0.000850088591771688,1.3711222150478217,0.01829448967706639,partial_tp2,1850,1875,25,2026-01-21 05:30:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,88164.08001,88113.33129500001,0.000850088591771688,-0.1330517534710235,-0.0017752713096449429,time_stop,1850,1919,69,2026-01-21 16:30:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,87823.89,89601.83667,0.00036417059425340726,0.6087079559744144,0.019032306972487836,partial_tp1,1922,1930,8,2026-01-21 19:15:00+00:00,ensemble,0.128
BTC/USDT:USDT,BUY,87823.89,89601.83667,0.0005462558913801108,0.9130619339616216,0.01903230697248784,partial_tp2,1922,1930,8,2026-01-21 19:15:00+00:00,ensemble,0.128
BTC/USDT:USDT,BUY,87823.89,87860.76764,0.0005462558913801108,-0.03743663944637053,-0.0007803475180158147,time_stop,1922,2301,379,2026-01-25 16:00:00+00:00,ensemble,0.128
BTC/USDT:USDT,BUY,88082.13905999999,87733.81891823844,0.002269730022646677,-1.0300255382188912,-0.0051521196168881084,stop_loss,2302,2303,1,2026-01-25 16:30:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,87974.91547499999,87606.00365054749,0.0021472877788992384,-1.018373509245988,-0.005390859125776615,stop_loss,2303,2309,6,2026-01-25 18:00:00+00:00,ensemble,0.189
BTC/USDT:USDT,BUY,87463.720005,86957.27085312961,0.0017254089942177104,-1.0544004495952863,-0.00698691693367639,stop_loss,2312,2314,2,2026-01-25 19:15:00+00:00,ensemble,0.151
BTC/USDT:USDT,BUY,86749.99332,86163.5272352446,0.0022531838722293024,-1.555179497263587,-0.0079563602332798,stop_loss,2315,2316,1,2026-01-25 19:45:00+00:00,ensemble,0.1956
BTC/USDT:USDT,SELL,86799.808385,87403.72270752603,0.0019936951934834764,-1.412406327672195,-0.008161728169252222,stop_loss,2334,2337,3,2026-01-26 01:00:00+00:00,ensemble,0.1732
BTC/USDT:USDT,SELL,87606.16500500002,87908.94250499998,0.0021894488482055454,-0.8934846586257483,-0.004658194597180192,time_stop,2338,2354,16,2026-01-26 05:15:00+00:00,ensemble,0.192
BTC/USDT:USDT,BUY,88602.81926999999,88347.794005,0.0011679966964939792,-0.4218753060911593,-0.004076570429032459,time_stop,2438,2454,16,2026-01-27 06:15:00+00:00,ensemble,0.1036
BTC/USDT:USDT,SELL,89349.99265500001,89426.84107499999,0.0012900969415678516,-0.23752557945725064,-0.0020605991647798666,time_stop,2513,2529,16,2026-01-28 01:00:00+00:00,ensemble,0.1154
BTC/USDT:USDT,BUY,89113.93469999998,89089.78282500002,0.0015019653345447637,-0.1968687627399428,-0.001470859815092048,time_stop,2538,2556,18,2026-01-28 07:45:00+00:00,ensemble,0.134
BTC/USDT:USDT,BUY,88647.86177999999,88207.18782438234,0.0013340607551987277,-0.7294470586492474,-0.006168078669931756,stop_loss,2628,2631,3,2026-01-29 02:30:00+00:00,ensemble,0.1184
BTC/USDT:USDT,BUY,87951.01353,87906.034995,0.0022711697765885916,-0.3417946174532687,-0.0017110975539090187,time_stop,2632,2653,21,2026-01-29 08:00:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,88496.62619999998,88127.97845570462,0.0012617132962775318,-0.5988375279064967,-0.0053631706367669955,stop_loss,2654,2655,1,2026-01-29 08:30:00+00:00,ensemble,0.1118
BTC/USDT:USDT,BUY,87977.50676999999,87945.555225,0.0011555684529583586,-0.15889688177882239,-0.001562960661711748,time_stop,2661,2677,16,2026-01-29 14:00:00+00:00,ensemble,0.1018
BTC/USDT:USDT,BUY,85497.59743499999,84918.5597284139,0.002336085447558607,-1.5915455828104756,-0.007968497610732237,stop_loss,2682,2683,1,2026-01-29 15:30:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,84662.299995,83992.64813198165,0.0023587578210049233,-1.81823627601245,-0.009104936104264301,stop_loss,2683,2692,9,2026-01-29 17:45:00+00:00,ensemble,0.2
BTC/USDT:USDT,BUY,82509.25401,81699.23695497662,0.0024198679278781554,-2.1985520089482637,-0.01101139696999637,stop_loss,2724,2726,2,2026-01-30 02:15:00+00:00,ensemble,0.2
