symbol,side,entry_price,exit_price,quantity,pnl,pnl_pct,reason,entry_bar,exit_bar,duration_bars,exit_time,strategy,confidence
SOL/USDT:USDT,BUY,136.92843000000002,136.36009373150782,0.7931150601814392,-0.5808056001562151,-0.005348117865158518,stop_loss,267,278,11,2025-11-29 17:45:00+00:00,ensemble,0.1086
SOL/USDT:USDT,SELL,135.922005,135.96795,0.972560121887298,-0.2033418714649404,-0.0015382275518963171,time_stop,279,297,18,2025-11-29 22:30:00+00:00,ensemble,0.1322
SOL/USDT:USDT,SELL,135.63215,136.39099969905078,0.8374938544048913,-0.7722225890493237,-0.006798267142931933,stop_loss,316,317,1,2025-11-30 03:30:00+00:00,ensemble,0.1136
SOL/USDT:USDT,SELL,138.720605,139.6287510545828,1.089791006063466,-1.1716949773394627,-0.007750511672116413,stop_loss,360,369,9,2025-11-30 16:30:00+00:00,ensemble,0.1512
SOL/USDT:USDT,BUY,130.95544499999997,129.5393019686985,1.526820352519438,-2.4008332111073654,-0.012007441763743987,stop_loss,399,400,1,2025-12-01 00:15:00+00:00,ensemble,0.2
SOL/USDT:USDT,BUY,130.03498499999998,128.50374150647005,1.5372587772053627,-2.5923820564092255,-0.012968561725398824,stop_loss,400,402,2,2025-12-01 00:45:00+00:00,ensemble,0.2
SOL/USDT:USDT,BUY,127.63378499999999,126.31681,1.5657733130290659,-2.3006617476137423,-0.011512197628550977,time_stop,402,418,16,2025-12-01 04:45:00+00:00,ensemble,0.2
SOL/USDT:USDT,BUY,126.44318999999999,127.646145,0.3835820930437772,0.4029535253738427,0.008308089973054439,partial_tp1,418,433,15,2025-12-01 08:30:00+00:00,ensemble,0.1942
SOL/USDT:USDT,BUY,126.44318999999999,126.47673000000002,1.1507462791313317,-0.1360319639128164,-0.000934901689841655,time_stop,418,448,30,2025-12-01 12:15:00+00:00,ensemble,0.1942
SOL/USDT:USDT,BUY,126.60327,125.83278013388964,1.2562448037382639,-1.1581967763882677,-0.007282209189309933,stop_loss,448,449,1,2025-12-01 12:30:00+00:00,ensemble,0.1592
SOL/USDT:USDT,BUY,126.19306499999999,125.37370064575467,1.583143540056172,-1.536131164330721,-0.007689047045753077,stop_loss,449,450,1,2025-12-01 12:45:00+00:00,ensemble,0.2
SOL/USDT:USDT,BUY,126.66329999999999,125.72423501552221,1.5770235974536586,-1.7197402991174986,-0.008609419662104923,stop_loss,450,457,7,2025-12-01 14:30:00+00:00,ensemble,0.2
SOL/USDT:USDT,BUY,126.093015,127.30631500000001,0.2550052081337298,0.2706269296961003,0.0084164884311793,partial_tp1,487,498,11,2025-12-02 00:45:00+00:00,ensemble,0.1288
SOL/USDT:USDT,BUY,126.093015,126.17688,0.7650156244011894,-0.051636211404220464,-0.0005352948139117541,time_stop,487,508,21,2025-12-02 03:15:00+00:00,ensemble,0.1288
SOL/USDT:USDT,BUY,127.56375,127.02645500000001,1.318282665329745,-0.9096797970768747,-0.005409445261682775,time_stop,509,525,16,2025-12-02 07:30:00+00:00,ensemble,0.1684
SOL/USDT:USDT,SELL,130.39477000000002,131.44118876933732,1.5315246496757031,-1.8432210741394055,-0.009229820679149138,stop_loss,549,551,2,2025-12-02 14:00:00+00:00,ensemble,0.2
SOL/USDT:USDT,SELL,130.89452000000003,131.96903553271943,0.9091358465831679,-1.1202677971626782,-0.009413943884274408,stop_loss,551,552,1,2025-12-02 14:15:00+00:00,ensemble,0.1192
